Sample.ID,Depth,Temperature,DO,Salinity,Secchi.Disk,SED.Depth,SAV,,Site.Class,Strata,ID,Year,Season,System,Lake
1-1-1-12,1,24,115.5,12.1,0.7,0.9,100,,Seasonal,Inshore,2016 Wet 1-1-1-12,2016,Wet,Alligator,West Lake
1-1-1-18,1.1,25.1,119.2,12.5,0.8,0.5,37,,Seasonal,Inshore,2016 Wet 1-1-1-18,2016,Wet,Alligator,West Lake
1-1-1-6,1,23.3,69.5,11.9,0.8,0.7,100,,Seasonal,Inshore,2016 Wet 1-1-1-6,2016,Wet,Alligator,West Lake
1-1-2-15,1.3,24.6,117.5,11.9,0.7,0.6,100,,Seasonal,Offshore,2016 Wet 1-1-2-15,2016,Wet,Alligator,West Lake
1-1-2-21,1.4,25.2,102,12.1,0.8,0.4,80,,Seasonal,Offshore,2016 Wet 1-1-2-21,2016,Wet,Alligator,West Lake
1-1-2-26,1.2,25.8,104.3,11.8,0.9,0.4,100,,Seasonal,Offshore,2016 Wet 1-1-2-26,2016,Wet,Alligator,West Lake
1-1-2-T1,1.15,24.3,119.8,12.2,0.7,0.6,100,,Seasonal,Offshore,2016 Wet 1-1-2-T1,2016,Wet,Alligator,West Lake
1-1-2-T2,1.2,23.7,94,11.9,0.7,0.5,5,,Seasonal,Offshore,2016 Wet 1-1-2-T2,2016,Wet,Alligator,West Lake
1-2-1-12,1,26.7,90.7,6.5,0.4,0.8,0,,Seasonal,Inshore,2016 Wet 1-2-1-12,2016,Wet,Alligator,Cuthbert Lake
1-2-1-17,1.3,24.8,96.5,6.3,0.4,0.2,0,,Seasonal,Inshore,2016 Wet 1-2-1-17,2016,Wet,Alligator,Cuthbert Lake
1-2-1-8,0.8,23.5,67.6,6.1,0.4,1.2,5,,Seasonal,Inshore,2016 Wet 1-2-1-8,2016,Wet,Alligator,Cuthbert Lake
1-2-2-2,1.4,23.4,100.8,6.4,0.5,0,0,,Seasonal,Offshore,2016 Wet 1-2-2-2,2016,Wet,Alligator,Cuthbert Lake
1-2-2-21,1,23.6,82.3,6.4,0.5,0.3,2,,Seasonal,Offshore,2016 Wet 1-2-2-21,2016,Wet,Alligator,Cuthbert Lake
1-2-2-25,1.4,24.8,100.5,6.6,0.5,0,0,,Seasonal,Offshore,2016 Wet 1-2-2-25,2016,Wet,Alligator,Cuthbert Lake
1-2-2-26,1.2,25.3,108.6,6.6,0.4,0.2,100,,Seasonal,Offshore,2016 Wet 1-2-2-26,2016,Wet,Alligator,Cuthbert Lake
1-2-2-3,1.4,24.4,103.5,6.4,0.5,0.1,50,,Seasonal,Offshore,2016 Wet 1-2-2-3,2016,Wet,Alligator,Cuthbert Lake
