SAV percent cover,,water,sed,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Thalassia
Date,Site #,Depth,depth,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height
12/12/2013,4A,115,20,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,25,0,0
12/12/2013,4A,,,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0
12/12/2013,4A,,,mean,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,25.0,0.0,0.0
12/12/2013,4A,,,median,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,min,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0
12/12/2013,4A,,,max,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
12/12/2013,4A,,,frequency,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
12/12/2013,4B,130,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
12/12/2013,4B,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2013,4B,,,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
12/12/2013,4B,,,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
12/12/2013,4B,,,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
12/12/2013,4B,,,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
12/12/2013,4B,,,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
12/12/2013,4B,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2013,4B,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2013,4B,,,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
12/12/2013,4B,,,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
12/12/2013,4B,,,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
12/12/2013,4B,,,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
12/12/2013,4B,,,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
12/12/2013,4B,,,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
12/12/2013,4B,,,mean,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0
12/12/2013,4B,,,median,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
12/12/2013,4B,,,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2013,4B,,,max,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
12/12/2013,4B,,,frequency,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
12/12/2013,4C,130,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
12/12/2013,4C,,,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
12/12/2013,4C,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2013,4C,,,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
12/12/2013,4C,,,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
12/12/2013,4C,,,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
12/12/2013,4C,,,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
12/12/2013,4C,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2013,4C,,,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
12/12/2013,4C,,,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
