SAV percent cover,,water,sed,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Thalassia,Ruppia 
Date,Site #,Depth,depth,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height,Canopy height
4/15/2014,1,110,NA,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,NA,NA,NA,NA
4/15/2014,1,,,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,NA,NA,NA,NA
4/15/2014,1,,,3,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,NA,NA,NA,NA
4/15/2014,1,,,4,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,NA,NA,NA,NA
4/15/2014,1,,,5,10,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,NA,NA,NA,NA
4/15/2014,1,,,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA
4/15/2014,1,,,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA
4/15/2014,1,,,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,1,,,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA
4/15/2014,1,,,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,1,,,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,NA,NA,NA,NA
4/15/2014,1,,,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA
4/15/2014,1,,,13,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA
4/15/2014,1,,,14,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,NA,NA,NA,NA
4/15/2014,1,,,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,1,,,mean,1.7,0.0,2.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4/15/2014,1,,,median,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,#NUM!,#NUM!,#NUM!,#NUM!
4/15/2014,1,,,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
4/15/2014,1,,,max,15,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
4/15/2014,1,,,frequency,13,0,33,93,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
4/15/2014,2,110,NA,1,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0
4/15/2014,2,,,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0
4/15/2014,2,,,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
4/15/2014,2,,,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0
4/15/2014,2,,,5,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0
4/15/2014,2,,,6,20,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,0,0,0
4/15/2014,2,,,7,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
4/15/2014,2,,,8,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
4/15/2014,2,,,9,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0
4/15/2014,2,,,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0
4/15/2014,2,,,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0
4/15/2014,2,,,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0
4/15/2014,2,,,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0
4/15/2014,2,,,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0
4/15/2014,2,,,15,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0
4/15/2014,2,,,mean,1.3,0.0,4.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0
4/15/2014,2,,,median,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
4/15/2014,2,,,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0
4/15/2014,2,,,max,20,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,0,0,0
4/15/2014,2,,,frequency,7,0,60,93,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
4/15/2014,3,NA,NA,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA
4/15/2014,3,,,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA
4/15/2014,3,,,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,3,,,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA
4/15/2014,3,,,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,3,,,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,3,,,7,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,3,,,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA
4/15/2014,3,,,9,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,3,,,10,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA
4/15/2014,3,,,11,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,3,,,12,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA
4/15/2014,3,,,13,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
4/15/2014,3,,,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA
4/15/2014,3,,,15,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA
4/15/2014,3,,,mean,0.4,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4/15/2014,3,,,median,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,#NUM!,#NUM!,#NUM!,#NUM!
4/15/2014,3,,,min,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4/15/2014,3,,,max,3,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
4/15/2014,3,,,frequency,13,0,100,67,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
4/15/2014,4A,85,NA,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0
4/15/2014,4A,,,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0
4/15/2014,4A,,,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0
4/15/2014,4A,,,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0
4/15/2014,4A,,,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0
4/15/2014,4A,,,6,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,20,0,0,0
4/15/2014,4A,,,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0
4/15/2014,4A,,,8,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,20,0,0,0
4/15/2014,4A,,,9,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,20,0,0,0
