SAV percent cover,,,,,,,,,,,,,,,,,,,,,,
Date,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia,Chondria baileyana,Udotea,Hypnea,Digenia,Total,substrate,Notes
11/14/06,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,mix,
11/14/06,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,rock,
11/14/06,1,mean,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11/14/06,1,median,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11/14/06,1,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
