SAV percent cover,,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Thalassia
Date,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height
6/25/2018,4A,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0
6/25/2018,4A,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0
6/25/2018,4A,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,10,0,0
6/25/2018,4A,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0
6/25/2018,4A,7,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,10,0,0
6/25/2018,4A,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,mean,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,10.0,0.0,0.0
6/25/2018,4A,median,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,min,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0
6/25/2018,4A,max,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0
6/25/2018,4A,frequency,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
6/25/2018,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
6/25/2018,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
6/25/2018,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
6/25/2018,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
6/25/2018,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
6/25/2018,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
6/25/2018,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
6/25/2018,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
6/25/2018,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
6/25/2018,4,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
6/25/2018,4,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
6/25/2018,4,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
6/25/2018,4,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
6/25/2018,4,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
6/25/2018,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
