Date,Site,Cover_type,mSAV
01/27/10,22,Acetabularia,0
01/27/10,22,Batophora,0
01/27/10,22,Caulerpa prolifera,0
01/27/10,22,Chara,74
01/27/10,22,Chondria baileyana,0
01/27/10,22,Digenia,0
01/27/10,22,Halimeda incrassata,0
01/27/10,22,Halodule,0
01/27/10,22,Hypnea,0
01/27/10,22,Laurencia spp.,0
01/27/10,22,Penicillus,0
01/27/10,22,Polysiphonia,NA
01/27/10,22,Rhizophora mangle,0
01/27/10,22,Ruppia,0
01/27/10,22,Sargassum pteropleuron,0
01/27/10,22,Thalassia,0
01/27/10,22,Udotea,0
01/27/10,23,Acetabularia,0
01/27/10,23,Batophora,0
01/27/10,23,Caulerpa prolifera,0
01/27/10,23,Chara,1.0666666666666667
01/27/10,23,Chondria baileyana,0
01/27/10,23,Digenia,0
01/27/10,23,Halimeda incrassata,0
01/27/10,23,Halodule,0
01/27/10,23,Hypnea,0
01/27/10,23,Laurencia spp.,0
01/27/10,23,Penicillus,0
01/27/10,23,Polysiphonia,NA
01/27/10,23,Rhizophora mangle,0
01/27/10,23,Ruppia,0
01/27/10,23,Sargassum pteropleuron,0
01/27/10,23,Thalassia,0
01/27/10,23,Udotea,0
01/27/10,24,Acetabularia,0
01/27/10,24,Batophora,0
01/27/10,24,Caulerpa prolifera,0
01/27/10,24,Chara,0.8
01/27/10,24,Chondria baileyana,0
01/27/10,24,Digenia,0
01/27/10,24,Halimeda incrassata,0
01/27/10,24,Halodule,0
01/27/10,24,Hypnea,0
01/27/10,24,Laurencia spp.,0
01/27/10,24,Penicillus,0
01/27/10,24,Polysiphonia,NA
01/27/10,24,Rhizophora mangle,0
01/27/10,24,Ruppia,0
01/27/10,24,Sargassum pteropleuron,0
01/27/10,24,Thalassia,0
01/27/10,24,Udotea,0
01/27/10,25,Acetabularia,0
01/27/10,25,Batophora,0
01/27/10,25,Caulerpa prolifera,0
01/27/10,25,Chara,0
01/27/10,25,Chondria baileyana,0
01/27/10,25,Digenia,0
01/27/10,25,Halimeda incrassata,0
