Site,Date,TOTN,TOTP
2,4/7/2006,70.86,1.27
2,5/25/2006,76.94,1.37
2,6/27/2006,68.29,1.35
2,7/18/2006,51.22,1.43
2,8/25/2006,41.29,0.84
2,9/26/2006,39.64,0.64
2,10/23/2006,39.23,0.66
2,11/15/2006,35.91,0.43
2,12/13/2006,36.50,0.34
2,1/17/2007,61.12,0.37
2,2/27/2007,33.33,0.35
2,4/4/2007,55.39,0.30
2,5/3/2007,32.69,1.42
2,6/4/2007,40.31,1.72
2,6/25/2007,38.07,0.61
2,8/8/2007,40.59,0.42
2,8/29/2007,48.69,0.38
2,9/20/2007,57.90,0.27
2,11/15/2007,37.33,1.84
2,12/15/2007,46.23,0.50
2,1/24/2008,50.63,0.30
2,4/4/2008,50.73,0.32
2,6/4/2008,92.44,0.34
2,7/8/2008,38.64,0.24
2,8/5/2008,49.74,0.27
2,9/18/2008,76.51,0.30
2,10/7/2008,82.18,0.28
2,11/6/2008,58.61,0.40
2,1/4/2009,38.22,1.91
2,3/31/2009,80.88,1.24
2,5/13/2009,142.78,1.21
2,6/25/2009,123.19,0.82
2,8/7/2009,78.53,1.38
2,9/16/2009,97.38,0.37
2,11/13/2009,75.12,0.37
2,1/21/2010,95.70,0.63
2,3/18/2010,64.63,0.15
2,4/22/2010,103.23,0.17
2,6/22/2010,121.20,0.41
2,2/2/2011,72.21,0.24
2,3/31/2011,71.09,1.33
2,5/18/2011,112.47,0.51
2,6/28/2011,99.81,0.47
2,9/9/2011,101.53,0.59
2,10/10/2011,85.07,0.67
2,10/31/2011,65.07,0.46
2,12/1/2011,64.53,0.62
2,2/9/2012,73.37,0.41
2,3/19/2012,85.72,0.62
2,4/19/2012,76.44,0.64
2,5/30/2012,74.05,0.73
2,7/5/2012,57.93,0.66
2,8/14/2012,55.10,0.34
2,9/13/2012,58.93,0.52
2,10/11/2012,51.73,0.51
2,11/6/2012,40.50,0.46
2,12/5/2012,51.66,0.41
2,1/14/2013,46.08,0.63
2,2/26/2013,51.48,0.39
2,3/21/2013,52.03,0.14
2,4/16/2013,48.18,0.25
2,5/16/2013,52.28,0.53
2,6/12/2013,48.91,0.42
2,8/7/2013,36.04,0.32
4A,5/7/2014,42.26,0.46
4A,7/9/2014,50.41,0.35
4A,9/3/2014,55.94,0.69
4A,11/5/2014,54.83,0.33
4A,1/14/2015,63.27,0.30
4A,4/10/2015,85.57,0.56
4A,5/12/2015,76.49,0.46
4A,9/28/2015,89.27,0.61
4A,12/15/2015,102.43,0.88
4A,2/4/2016,200.59,0.67
4A,4/29/2016,70.81,0.97
4A,6/24/2016,103.41,1.21
4A,9/2/2016,86.66,1.86
4A,11/21/2016,64.60,1.24
4A,03/02/2017,101.29,1.53
4A,05/30/2017,100.69,1.55
4A,11/07/2017,73.60,0.65
4A,02/07/2018,80.70,0.96
4A,06/08/2018,170.89,1.65
4A,9/27/2018,93.43,0.71
4,9/13/2013,43.92,0.50
4,11/20/2013,35.29,0.23
4,2/6/2014,35.69,0.95
4,5/7/2014,36.29,0.46
4,7/9/2014,42.74,0.39
4,9/3/2014,50.70,0.35
4,11/5/2014,54.04,0.27
4,1/14/2015,62.53,0.24
4,4/10/2015,73.99,0.47
4,5/12/2015,79.49,0.58
4,9/28/2015,92.17,0.61
4,12/15/2015,93.64,0.73
4,2/4/2016,83.40,0.77
4,4/29/2016,70.46,0.90
4,6/24/2016,98.57,1.15
4,9/2/2016,84.55,1.76
4,11/21/2016,59.85,1.42
4,03/02/2017,103.61,1.15
4,05/30/2017,107.47,1.40
4,11/07/2017,75.07,0.60
4,02/07/2018,78.61,0.62
4,06/08/2018,158.34,1.40
4,9/27/2018,91.81,0.68
5,9/13/2013,44.89,0.31
5,11/20/2013,31.07,0.24
5,2/6/2014,32.40,0.36
5,5/7/2014,43.06,0.46
5,7/9/2014,47.22,0.36
5,9/3/2014,52.48,0.39
5,11/5/2014,54.84,0.26
5,1/14/2015,61.77,0.28
5,4/10/2015,73.72,0.39
5,5/12/2015,75.63,0.63
5,9/28/2015,111.05,0.73
5,12/15/2015,103.28,0.89
5,2/4/2016,87.77,0.85
5,4/29/2016,89.53,0.98
5,6/24/2016,111.25,1.35
5,9/2/2016,102.95,1.77
5,11/21/2016,82.54,1.60
5,3/2/2017,102.08,1.54
5,5/30/2017,109.18,1.26
5,11/7/2017,82.10,0.65
5,2/7/2018,75.01,0.56
5,6/8/2018,157.22,1.30
5,9/27/2018,102.53,0.64
6,5/7/2014,39.19,0.45
6,7/9/2014,41.97,0.34
6,9/3/2014,53.84,0.35
6,11/5/2014,55.89,0.25
6,1/14/2015,64.33,0.28
6,4/10/2015,68.37,0.39
6,5/12/2015,67.10,0.53
7,5/7/2014,40.42,0.44
7,7/9/2014,52.04,0.42
7,9/3/2014,57.28,0.48
7,11/5/2014,60.94,0.36
7,1/14/2015,73.69,0.34
7,4/10/2015,88.23,0.68
7,5/12/2015,82.95,0.94
7,9/28/2015,100.73,0.77
7,12/15/2015,102.82,0.90
7,2/4/2016,88.27,0.96
7,4/29/2016,85.73,1.07
7,6/24/2016,105.20,1.26
7,9/2/2016,102.18,1.19
7,11/21/2016,76.28,1.72
7,3/2/2017,104.02,1.16
7,5/30/2017,101.29,1.28
7,11/7/2017,79.93,0.66
7,2/7/2018,81.35,0.64
7,6/8/2018,171.71,1.57
7,9/27/2018,109.34,0.60
8,4/7/2006,76.94,1.27
8,5/25/2006,79.92,1.35
8,6/27/2006,68.11,1.29
8,7/18/2006,53.94,1.45
8,8/25/2006,41.24,0.75
8,9/26/2006,39.95,0.73
8,10/23/2006,46.36,0.78
8,11/15/2006,42.86,0.62
8,12/13/2006,40.37,0.31
8,1/17/2007,62.90,0.41
8,2/27/2007,34.76,0.60
8,4/4/2007,59.77,0.41
8,5/3/2007,36.39,1.76
8,6/4/2007,41.07,2.01
8,6/25/2007,35.82,0.61
8,8/8/2007,36.77,0.40
8,8/29/2007,44.35,0.44
8,9/20/2007,54.50,1.02
8,11/15/2007,39.73,0.74
8,12/15/2007,44.80,0.71
8,1/24/2008,46.58,0.40
8,4/4/2008,50.98,0.43
8,6/4/2008,89.18,0.37
8,7/8/2008,33.47,0.24
8,8/5/2008,37.39,0.41
8,9/18/2008,99.36,0.72
8,10/7/2008,86.58,0.29
8,11/6/2008,52.24,0.45
8,1/4/2009,33.69,2.27
8,3/31/2009,58.26,1.06
8,5/13/2009,121.05,0.74
8,6/25/2009,143.15,0.78
8,8/7/2009,78.80,1.62
8,9/16/2009,117.41,0.68
8,11/13/2009,87.77,1.56
8,1/21/2010,101.86,1.15
8,3/18/2010,66.29,0.13
8,4/22/2010,92.31,0.31
8,6/22/2010,153.99,0.32
8,2/2/2011,81.74,0.32
8,3/31/2011,87.01,1.02
8,5/18/2011,100.74,0.56
8,6/28/2011,117.36,0.50
8,9/9/2011,114.71,0.72
8,10/10/2011,100.35,0.67
8,10/31/2011,81.87,0.61
8,12/1/2011,76.70,0.65
8,2/9/2012,79.26,0.51
8,3/19/2012,82.07,0.46
8,4/19/2012,91.24,0.70
8,5/30/2012,76.22,0.70
8,7/5/2012,88.42,2.92
8,8/14/2012,55.53,0.36
8,9/13/2012,60.07,0.47
8,10/11/2012,47.51,0.42
8,11/6/2012,48.27,0.50
8,12/5/2012,48.09,0.41
8,1/14/2013,49.48,0.47
8,2/26/2013,56.04,0.44
8,3/21/2013,63.89,0.18
8,4/16/2013,54.47,0.33
8,5/16/2013,62.49,0.35
8,6/12/2013,49.73,0.38
8,8/7/2013,34.43,0.34
8,5/7/2014,48.35,0.43
8,7/9/2014,57.58,0.55
8,9/3/2014,64.39,0.52
8,11/5/2014,67.02,0.44
8,1/14/2015,68.94,0.43
8,4/10/2015,87.05,0.79
8,5/12/2015,90.18,0.83
8,9/28/2015,98.45,0.67
8,12/15/2015,102.75,0.90
8,2/4/2016,90.79,1.08
8,4/29/2016,54.16,1.55
8,6/24/2016,133.07,1.26
8,9/2/2016,100.34,1.19
8,11/21/2016,78.50,1.90
8,3/2/2017,113.88,1.33
8,5/30/2017,98.06,0.93
8,11/7/2017,86.32,0.70
8,2/7/2018,88.39,0.82
8,6/8/2018,167.58,1.53
8,9/27/2018,105.83,0.62
9,9/13/2013,50.37,0.44
9,11/20/2013,42.14,0.32
9,2/6/2014,37.53,0.42
9,5/7/2014,49.99,0.45
9,7/9/2014,51.98,0.48
9,9/3/2014,66.57,0.50
9,11/5/2014,66.18,0.45
9,1/14/2015,74.28,0.41
9,4/10/2015,90.63,0.86
9,5/12/2015,84.62,0.81
9,9/28/2015,103.81,0.80
9,12/15/2015,108.78,0.98
9,2/4/2016,107.92,1.08
9,4/29/2016,73.77,1.52
9,6/24/2016,98.42,1.15
9,9/2/2016,106.62,1.25
