Site,Date,Time,Temp.,Sal.,Depth (cm),Turb. (NTU),CDOM
31,4/26/2006,1230,30.0,50.0,60,,
22,4/26/2006,1030,28.0,21.0,35,,
32,4/26/2006,1305,30.0,50.0,55,,
23,4/26/2006,1100,29.0,20.0,70,,
24,4/26/2006,1110,29.0,20.0,80,,
34,4/26/2006,1330,31.0,50.0,60,,
35,4/26/2006,1320,31.00,50.0,70,,
25,4/26/2006,1125,29.0,20.0,110,,
26,4/26/2006,1145,29.0,20.0,80,,
38,4/26/2006,1410,31.0,50.0,35,,
29,4/26/2006,1155,30.0,45.0,80,,
30,4/26/2006,1210,30.0,49.0,80,,
1,5/25/2006,1240,29.0,28.0,150,,
2,5/25/2006,1220,30.0,28.0,145,,
3,5/25/2006,1130,29.0,29.0,160,,
13,5/25/2006,1440,29.0,46.0,130,,
4,5/25/2006,1320,29.00,29.0,130,,
5,5/25/2006,1200,29.0,29.0,120,,
6,5/25/2006,1255,29.0,29.0,145,,
7,5/25/2006,1030,29.0,31.0,110,,
17,5/25/2006,1500,29.0,48.0,90,,
8,5/25/2006,1345,29.0,37.0,125,,
9,5/25/2006,1410,29.0,36.0,115,,
22,5/29/2006,1120,31.0,26.0,40,,
23,5/29/2006,1200,32.0,23.0,80,,
24,5/29/2006,1225,30.0,23.0,85,,
25,5/29/2006,1340,32.0,22.0,120,,
26,5/29/2006,1410,31.0,23.0,95,,
27,5/29/2006,1445,31.0,22.0,140,,
28,5/29/2006,1255,32.0,21.0,130,,
31,5/31/2006,1240,30.0,50.0,80,,
32,5/31/2006,1345,31.0,51.0,60,,
33,5/31/2006,1410,32.0,53.0,65,,
34,5/31/2006,1445,31.0,53.0,65,,
35,5/31/2006,1515,32.00,52.0,75,,
29,5/31/2006,1155,31.0,51.0,100,,
30,5/31/2006,1220,31.0,51.0,90,,
11,6/2/2006,1045,30.0,40.0,70,,
21,6/2/2006,1625,31.0,45.0,110,,
12,6/2/2006,1152,30.0,40.0,100,,
13,6/2/2006,1130,30.0,41.0,110,,
14,6/2/2006,1255,30.00,41.0,45,,
15,6/2/2006,1454,32.0,46.0,70,,
16,6/2/2006,1400,31.0,46.0,75,,
17,6/2/2006,1325,31.0,42.0,65,,
18,6/2/2006,1423,31.0,45.0,70,,
19,6/2/2006,1534,33.0,45.0,55,,
20,6/2/2006,1600,33.0,46.0,50,,
10,6/2/2006,1215,31.0,41.0,60,,
41,6/15/2006,1110,32.0,42.0,45,,
36,6/15/2006,1345,34.0,45.0,30,,
38,6/15/2006,1300,33.0,46.0,30,,
39,6/15/2006,1230,33.0,43.0,30,,
40,6/15/2006,1145,32.0,42.0,35,,
1,6/27/2006,1232,29.5,29.0,140,,
11,6/27/2006,1418,31.5,41.0,80,,
21,6/27/2006,1542,30.5,41.0,125,,
2,6/27/2006,1257,30.0,30.0,150,,
12,6/27/2006,1356,30.5,43.0,115,,
3,6/27/2006,1317,30.0,31.0,155,,
13,6/27/2006,1403,30.5,41.0,125,,
4,6/27/2006,1249,30.00,29.0,125,,
14,6/27/2006,1448,32.00,42.0,70,,
5,6/27/2006,1310,30.0,31.0,110,,
15,6/27/2006,1526,32.0,44.0,85,,
6,6/27/2006,1239,29.5,29.0,145,,
16,6/27/2006,1514,31.5,42.0,95,,
7,6/27/2006,1325,31.0,34.0,110,,
17,6/27/2006,1458,31.0,44.0,90,,
8,6/27/2006,1332,30.5,36.0,125,,
18,6/27/2006,1521,32.0,44.0,90,,
9,6/27/2006,1343,30.5,35.0,110,,
19,6/27/2006,1532,32.0,42.0,70,,
20,6/27/2006,1537,32.0,42.0,65,,
10,6/27/2006,1434,30.0,41.0,75,,
31,6/30/2006,1552,31.5,41.0,80,,
22,6/30/2006,1709,32.0,24.0,70,,
32,6/30/2006,1505,33.0,45.0,50,,
23,6/30/2006,1702,32.0,25.0,90,,
33,6/30/2006,1454,33.0,46.0,60,,
24,6/30/2006,1647,31.0,26.0,100,,
34,6/30/2006,1515,33.5,48.0,60,,
35,6/30/2006,1441,33.00,46.0,70,,
25,6/30/2006,1631,30.0,27.0,130,,
26,6/30/2006,1620,30.5,26.0,100,,
27,6/30/2006,1626,30.0,27.0,145,,
28,6/30/2006,1652,30.5,26.0,140,,
29,6/30/2006,1611,31.5,36.0,100,,
30,6/30/2006,1603,31.5,39.0,90,,
1,7/18/2006,1203,32.0,18.0,135,,
11,7/18/2006,1340,33.0,21.0,75,,
21,7/18/2006,1507,33.5,40.0,115,,
2,7/18/2006,1212,31.5,22.0,145,,
12,7/18/2006,1326,31.0,29.0,110,,
3,7/18/2006,1229,31.0,22.0,155,,
13,7/18/2006,1331,32.0,30.0,115,,
4,7/18/2006,1246,31.50,15.0,130,,
14,7/18/2006,1410,32.00,28.0,50,,
5,7/18/2006,1221,32.5,25.0,120,,
15,7/18/2006,1438,32.0,33.0,80,,
6,7/18/2006,1251,33.0,22.0,140,,
16,7/18/2006,1443,32.0,32.0,80,,
7,7/18/2006,1234,31.0,25.5,110,,
17,7/18/2006,1423,31.5,30.0,80,,
8,7/18/2006,1306,31.0,28.0,130,,
18,7/18/2006,1432,32.0,32.0,80,,
9,7/18/2006,1315,31.0,29.0,110,,
19,7/18/2006,1447,33.0,34.0,70,,
20,7/18/2006,1456,33.5,36.0,65,,
10,7/18/2006,1352,32.0,28.0,60,,
31,7/21/2006,1106,29.0,20.0,110,,
22,7/21/2006,906,28.5,19.0,70,,
32,7/21/2006,1132,28.5,20.0,60,,
23,7/21/2006,926,28.5,18.0,115,,
33,7/21/2006,1153,28.0,24.0,70,,
24,7/21/2006,932,28.5,20.0,120,,
34,7/21/2006,1159,28.5,30.0,75,,
35,7/21/2006,1145,28.50,25.0,85,,
25,7/21/2006,945,28.5,20.0,150,,
26,7/21/2006,1041,28.5,21.0,125,,
27,7/21/2006,1033,28.5,20.0,165,,
28,7/21/2006,914,28.5,20.0,155,,
29,7/21/2006,1050,28.5,19.0,125,,
30,7/21/2006,1056,28.5,20.0,125,,
31,8/22/2006,1111,30.5,18.6,90,,
22,8/22/2006,1411,30.9,18.3,55,,
32,8/22/2006,1021,30.0,18.4,60,,
23,8/22/2006,1355,29.8,18.5,100,,
33,8/22/2006,944,29.9,18.6,70,,
24,8/22/2006,1318,29.4,18.7,100,,
34,8/22/2006,925,29.8,21.4,70,,
35,8/22/2006,1001,29.50,20.7,80,,
25,8/22/2006,1243,29.9,18.9,135,,
26,8/22/2006,1206,29.6,18.8,110,,
27,8/22/2006,1222,30.3,18.8,150,,
28,8/22/2006,1334,30.6,18.7,140,,
29,8/22/2006,1149,31.0,18.5,110,,
30,8/22/2006,1128,30.4,18.6,100,,
1,8/25/2006,845,31.0,11.5,140,,
11,8/25/2006,1434,33.1,18.0,75,,
21,8/25/2006,1106,31.4,37.0,120,,
2,8/25/2006,945,30.8,12.0,160,,
12,8/25/2006,1403,31.8,18.0,110,,
3,8/25/2006,1025,31.1,12.2,160,,
13,8/25/2006,1419,32.3,18.3,120,,
4,8/25/2006,937,30.60,10.0,135,,
14,8/25/2006,1326,34.10,21.7,60,,
5,8/25/2006,1010,31.7,12.7,125,,
15,8/25/2006,1251,32.5,24.9,80,,
6,8/25/2006,915,31.1,10.9,140,,
16,8/25/2006,1212,32.0,25.4,90,,
7,8/25/2006,1045,31.5,13.1,125,,
17,8/25/2006,1305,32.7,23.0,80,,
8,8/25/2006,1055,31.4,14.4,120,,
18,8/25/2006,1231,32.4,23.5,80,,
9,8/25/2006,1115,32.0,14.4,120,,
19,8/25/2006,1135,32.9,37.0,65,,
20,8/25/2006,1154,32.5,36.3,70,,
10,8/25/2006,1347,32.9,19.2,60,,
41,8/31/2006,1058,26.6,27.5,80,,
36,8/31/2006,1220,27.1,17.1,60,,
37,8/31/2006,1155,27.1,21.8,65,,
38,8/31/2006,1245,27.6,14.8,55,,
39,8/31/2006,1305,27.1,15.6,55,,
40,8/31/2006,1125,26.8,22.7,65,,
35,9/7/2006,1144,29.90,13.0,95,,
28,9/7/2006,905,28.3,14.1,160,,
30,9/7/2006,1040,29.2,13.7,125,,
31,9/22/2006,1057,30.7,12.0,105,,
22,9/22/2006,948,29.9,12.5,70,,
32,9/22/2006,1129,30.0,11.7,75,,
23,9/22/2006,1006,30.0,12.5,120,,
33,9/22/2006,1140,30.9,11.0,85,,
24,9/22/2006,1009,30.1,12.7,115,,
34,9/22/2006,1145,31.6,11.4,85,,
35,9/22/2006,1133,30.60,11.3,90,,
25,9/22/2006,1023,30.6,13.0,150,,
26,9/22/2006,1034,30.9,12.8,125,,
27,9/22/2006,1027,30.4,13.0,170,,
28,9/22/2006,957,30.1,12.9,160,,
29,9/22/2006,1041,30.4,12.2,130,,
30,9/22/2006,1046,30.3,12.0,115,,
1,9/26/2006,1002,30.5,4.4,145,,
11,9/26/2006,1253,31.7,6.0,80,,
21,9/26/2006,1426,32.9,24.8,130,,
2,9/26/2006,1007,30.7,4.2,160,,
12,9/26/2006,1218,31.9,6.0,122,,
3,9/26/2006,1125,31.4,4.3,165,,
13,9/26/2006,1224,32.1,6.1,120,,
4,9/26/2006,1112,30.90,2.7,135,,
14,9/26/2006,1317,31.70,6.3,58,,
5,9/26/2006,1132,31.8,4.0,120,,
15,9/26/2006,1358,33.1,8.3,88,,
6,9/26/2006,956,30.8,4.1,138,,
16,9/26/2006,1405,32.3,8.2,90,,
7,9/26/2006,1142,30.8,4.4,120,,
17,9/26/2006,1327,32.5,6.6,85,,
8,9/26/2006,1147,31.6,4.6,140,,
18,9/26/2006,1353,33.4,8.1,85,,
9,9/26/2006,1212,32.8,4.9,125,,
