SAV percent cover,,,,,,,,,,,,,,,,,,,,,,
Date,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,substrate,Notes
04/01/09,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mix,
04/01/09,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mix,
04/01/09,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,8,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,13,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,1,mean,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,,
04/01/09,1,median,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,
04/01/09,1,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
04/01/09,1,max,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,
04/01/09,1,frequency,0,0,0,47,73,0,0,0,0,0,0,0,0,0,0,0,0,87,,
04/01/09,2,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock,
04/01/09,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
04/01/09,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
