SAV percent cover,,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Ruppia,,
Date,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height,,
5/17/2011,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,
5/17/2011,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,1,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,
5/17/2011,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,1,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,
5/17/2011,1,6,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,
5/17/2011,1,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,1,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,
5/17/2011,1,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,1,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,1,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,1,13,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,
5/17/2011,1,14,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,,
5/17/2011,1,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,
5/17/2011,1,mean,0.0,0.0,0.0,6.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,,
5/17/2011,1,median,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,
5/17/2011,1,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,1,max,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,
5/17/2011,1,frequency,0,0,0,93,7,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0
5/17/2011,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,2,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,,
5/17/2011,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,,
5/17/2011,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,5,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,,
5/17/2011,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,2,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,2,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,,
5/17/2011,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,2,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,mean,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,,
5/17/2011,2,median,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,
5/17/2011,2,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,2,max,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,,
5/17/2011,2,frequency,0,0,0,67,0,0,0,0,0,0,0,0,27,0,0,0,0,80,0,0,0,0,0
5/17/2011,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/17/2011,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
