SAV percent cover,,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Thalassia,Ruppia
Date,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height,Canopy height
7/29/2013,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3
7/29/2013,1,3,0,0,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3
7/29/2013,1,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3
7/29/2013,1,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3
7/29/2013,1,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,mean,0.0,0.0,0.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0
7/29/2013,1,median,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,min,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,1,max,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3
7/29/2013,1,frequency,0,0,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
7/29/2013,2,1,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,2,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3
7/29/2013,2,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,2,5,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,6,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,7,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7/29/2013,2,9,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,10,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,11,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,3
7/29/2013,2,13,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,3
7/29/2013,2,14,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
7/29/2013,2,15,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3
7/29/2013,2,mean,0.0,0.0,1.7,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3.2,0.0,0.0,0.0,3.0
7/29/2013,2,median,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
