SAV percent cover,water,sed,,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Thalassia
Date,Depth,depth,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height
1/27/2015,110,15,4A,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0
1/27/2015,,,4A,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
1/27/2015,,,4A,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
1/27/2015,,,4A,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,mean,90.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7,1.7,0.0,0.0
1/27/2015,,,4A,median,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1/27/2015,,,4A,min,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1/27/2015,,,4A,max,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0
1/27/2015,,,4A,frequency,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7,0,0
