SAV percent cover,,,,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Thalassia
Date,Water depth,Sed depth,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height
5/6/2015,95,10,4A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5/6/2015,,,4A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5/6/2015,,,4A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5/6/2015,,,4A,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
5/6/2015,,,4A,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
5/6/2015,,,4A,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
5/6/2015,,,4A,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5/6/2015,,,4A,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5/6/2015,,,4A,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5/6/2015,,,4A,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,0,0
5/6/2015,,,4A,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0
5/6/2015,,,4A,12,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,5,0,0
5/6/2015,,,4A,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0
5/6/2015,,,4A,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
5/6/2015,,,4A,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
5/6/2015,,,4A,mean,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,5.0,0.0,0.0
5/6/2015,,,4A,median,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
5/6/2015,,,4A,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
5/6/2015,,,4A,max,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,0,0
5/6/2015,,,4A,frequency,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,0,0
5/6/2015,120,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
5/6/2015,,,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
5/6/2015,,,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0
5/6/2015,,,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0
5/6/2015,,,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0
5/6/2015,,,4,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0
5/6/2015,,,4,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
5/6/2015,,,4,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0
5/6/2015,,,4,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
5/6/2015,,,4,10,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0
5/6/2015,,,4,11,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
5/6/2015,,,4,12,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
5/6/2015,,,4,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
5/6/2015,,,4,14,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,10,0
5/6/2015,,,4,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
5/6/2015,,,4,mean,0.0,1.2,0.0,0.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3.6,0.0,10.0,0.0
5/6/2015,,,4,median,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
5/6/2015,,,4,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
5/6/2015,,,4,max,0,5,0,3,5,0,0,0,0,0,0,0,3,0,0,0,0,5,0,10,0
5/6/2015,,,4,frequency,0,27,0,20,73,0,0,0,0,0,0,0,7,0,0,0,0,93,0,100,0
5/6/2015,108,20,5,1,75,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,80,15,0,0
5/6/2015,,,5,2,75,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,95,15,0,0
5/6/2015,,,5,3,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,4,90,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,5,100,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,6,100,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,7,100,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,8,100,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,9,100,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,10,100,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,11,100,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,12,45,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,60,15,0,0
5/6/2015,,,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
5/6/2015,,,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
5/6/2015,,,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
5/6/2015,,,5,mean,71.7,0.0,0.0,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,15.0,0.0,0.0
5/6/2015,,,5,median,90,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
5/6/2015,,,5,max,100,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0
5/6/2015,,,5,frequency,80,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,0,0
5/6/2015,135,3,6,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
5/6/2015,,,6,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
5/6/2015,,,6,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
5/6/2015,,,6,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
5/6/2015,,,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
5/6/2015,,,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
5/6/2015,,,6,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
5/6/2015,,,6,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0
5/6/2015,,,6,9,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0
5/6/2015,,,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
5/6/2015,,,6,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
5/6/2015,,,6,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
5/6/2015,,,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
5/6/2015,,,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
5/6/2015,,,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
5/6/2015,,,6,mean,0.0,1.5,0.0,0.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,5.0,0.0
5/6/2015,,,6,median,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
5/6/2015,,,6,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
5/6/2015,,,6,max,0,5,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0
5/6/2015,,,6,frequency,0,47,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,73,0,100,0
5/6/2015,105,45,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/6/2015,,,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/6/2015,,,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
