SAV percent cover,,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Thalassia
Date,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height
2/6/2019,4A,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,30,0,0
2/6/2019,4A,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,30,0,0
2/6/2019,4A,4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,30,0,0
2/6/2019,4A,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,6,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,30,0,0
2/6/2019,4A,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,15,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,30,0,0
2/6/2019,4A,mean,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,30.0,0.0,0.0
2/6/2019,4A,median,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,min,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,30,0,0
2/6/2019,4A,max,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0
2/6/2019,4A,frequency,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
2/6/2019,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
2/6/2019,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
2/6/2019,4,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
2/6/2019,4,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
2/6/2019,4,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
2/6/2019,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
2/6/2019,4,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
2/6/2019,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,mean,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,5.0,0.0
2/6/2019,4,median,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2/6/2019,4,max,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
2/6/2019,4,frequency,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,100,0
2/6/2019,5,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,50,0,0
