SAV percent cover,,,,,,,,,,,,,,,,,,,,,,
Date,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia,Chondria baileyana,Udotea,Hypnea,Digenia,Total,substrate,Notes
06/04/07,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,rock,
06/04/07,1,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,35,rock,
06/04/07,1,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,rock,
06/04/07,1,4,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,15,rock,
06/04/07,1,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,rock,
06/04/07,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,mix,
06/04/07,1,7,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,mix,
06/04/07,1,8,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,1,9,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,25,rock,
06/04/07,1,10,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,25,rock,
06/04/07,1,11,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,1,12,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,1,13,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,1,14,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,20,rock,
06/04/07,1,15,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,1,mean,0,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,14,,
06/04/07,1,median,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,,
06/04/07,1,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,
06/04/07,1,max,5,0,5,5,35,0,0,0,0,0,0,0,0,0,0,0,0,35,,
06/04/07,1,frequency,7,0,27,67,87,0,0,0,0,0,0,0,0,0,0,0,0,100,,
06/04/07,2,1,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,2,2,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,rock,
06/04/07,2,3,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,2,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,mud,
06/04/07,2,5,0,0,0,5,35,0,0,0,0,0,0,0,0,0,0,0,0,35,rock,
06/04/07,2,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,rock,
06/04/07,2,7,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,mix,
06/04/07,2,8,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,15,rock,
06/04/07,2,9,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
06/04/07,2,10,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,rock,
06/04/07,2,11,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,2,12,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
06/04/07,2,13,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,2,14,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,rock,
06/04/07,2,15,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,15,rock,
06/04/07,2,mean,1,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,9,,
06/04/07,2,median,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,,
06/04/07,2,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,
06/04/07,2,max,5,0,3,5,35,0,0,0,0,0,0,0,0,0,0,0,0,35,,
06/04/07,2,frequency,13,0,13,93,93,0,0,0,0,0,0,0,0,0,0,0,0,100,,
06/04/07,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
06/04/07,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
06/04/07,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,mix,
06/04/07,3,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,mix,
06/04/07,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
06/04/07,3,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,mix,
06/04/07,3,7,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
06/04/07,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock,
06/04/07,3,9,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,rock,
06/04/07,3,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,mix,
06/04/07,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock,
06/04/07,3,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
06/04/07,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock,
06/04/07,3,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,mix,
06/04/07,3,15,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,rock,
06/04/07,3,mean,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,,
06/04/07,3,median,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,
06/04/07,3,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
06/04/07,3,max,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,,
06/04/07,3,frequency,13,0,47,0,53,0,0,0,0,0,0,0,0,0,0,0,0,80,,
06/04/07,4,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,mud,
06/04/07,4,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,mud,
06/04/07,4,3,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,mix,
06/04/07,4,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,mix,
06/04/07,4,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,mud,
06/04/07,4,6,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,mix,
06/04/07,4,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,mix,
